page,country,rev_id,article_score
List of politicians in Poland,Poland,516633096,NA
Tingtingru,Vanuatu,550682925,NA
Daud Arsala,Afghanistan,627547024,NA
Book:Two Political Biographies,India,636911471,NA
Dilaver Bey,Turkey,669987106,NA
Bharat Saud,Nepal,671484594,NA
Book:Australian Prime Ministers,Australia,680981536,NA
Robert Sych,Poland,684023803,NA
Marek Krzysztof Jeleniewski,Poland,684023859,NA
Khanzahi,Iran,696608092,NA
Narayani Datt Chataut,Nepal,698572327,NA
Mohammad Amjad,Pakistan,699260156,NA
Gomez das Mariñas,Spain,703773782,NA
Valerio De Los Benidos,Cuba,706204833,NA
Kamlesh Arya,Fiji,706810694,NA
Book:Indian Politicians,India,708482569,NA
Pierre-Luc Paquette,Canada,708813010,NA
Khaled Aghbariyya,Israel,709508670,NA
José Santos Marques,Portugal,710135228,NA
Vladimir Shamakhov,Russia,710311600,NA
Hazrat-U-Din,Afghanistan,710715953,NA
Floydelia Diasen,Philippines,711224007,NA
Panu Laturi,Finland,711288191,NA
Michel Ximenes,France,711513274,NA
I Gede Sumantara Ady Pratama,Indonesia,712411818,NA
Łukasz Kowalski,Poland,712872338,NA
Blanka Olszewska,Poland,712872421,NA
Janusz Jerzy Drozdalski,Poland,712872473,NA
Piotr Michał Trzaska,Poland,712872531,NA
Anna Teresa Piórkowska,Poland,712873183,NA
Edward Ignacy Hartwich,Poland,712873308,NA
Lech Andrzej Zagłoba-Zygler,Poland,712873386,NA
Elżbieta Teresa Rusielewicz,Poland,712878000,NA
Adam Wojciech Fórmaniak,Poland,712878267,NA
Zbigniew Józef Sobociński,Poland,712878343,NA
Bernadeta Aldona Różańska-Majchrzak,Poland,712878396,NA
Jarosław Wenderlich,Poland,712881543,NA
Ewa Joanna Starosta,Poland,712881676,NA
Stanisław Grodzicki (politician),Poland,712881741,NA
Tadeusz Mirosław Kondrusiewicz,Poland,712881882,NA
Wojciech Hieronim Nowacki,Poland,712889562,NA
Jacek Rosół,Poland,712889594,NA
Tomasz Jan Rega,Poland,712889683,NA
Marek Henryk Gralik,Poland,712889781,NA
Michał Piotr Sztybel,Poland,712889809,NA
Jacek Andrzej Bukowski,Poland,712891291,NA
Kazimierz Drozd,Poland,712891354,NA
Lech Stanisław Lewandowski,Poland,712891378,NA
Felicja Gwincińska,Poland,712891476,NA
Shah Seyyed Ali Kazemi,Iran,713368646,NA
Diabete Aboubacar Siriki,Ivorian,713381693,NA
Fawzi al-Ghazzi,Syria,714352602,NA
Armin Halitović,Bosnia-Herzegovina,715273866,NA
James H. Stuart,Canada,715457941,NA
Gissur Petersson,Iceland,715534283,NA
Amirsho Miraliyev,Tajikistan,715978328,NA
Nicole Gauthier,France,717536136,NA
Henri François Xavier Gresley,France,717891895,NA
Patrick van Ypersele de Strihou,Belgium,717917231,NA
Bakhtiar Mahmud Kasuri,Pakistan,717927381,NA
Veaceslav Stăvilă,Moldova,718090116,NA
Edison Rey Batiquin,Philippines,719342595,NA
Friedrich Peus,Germany,719521006,NA
Talib Garingan Pawaki,Philippines,719581803,NA
Guglielmo Rapinett,Malta,719981739,NA
Christian Raster,Germany,720054719,NA
Jamal Awadh Nasser,Yemen,720154872,NA
Wells–Bennett–Grant family,United States,720164068,NA
Kimball–Snow–Woolley family,United States,720356159,NA
